se_type,location_code,language_code,total_count,items_count,target,metric_type,year,month,etv,count
google,2840,en,19,19,coresecurity.com,paid,2023,2,1288.880945891142,16
google,2840,en,19,19,coresecurity.com,paid,2023,1,326.6589964032173,16
google,2840,en,19,19,coresecurity.com,paid,2022,12,224.27899506688118,27
google,2840,en,19,19,purplesec.us,organic,2024,12,58475.47007178888,12018
google,2840,en,19,19,purplesec.us,organic,2024,11,66338.3572123386,12620
google,2840,en,19,19,purplesec.us,organic,2024,10,69437.09047956392,13146
google,2840,en,19,19,purplesec.us,organic,2024,9,68936.29217986017,13034
google,2840,en,19,19,purplesec.us,organic,2024,8,46865.34720942564,13581
google,2840,en,19,19,purplesec.us,organic,2024,7,46144.43047575839,9618
google,2840,en,19,19,purplesec.us,organic,2024,6,48093.319599758834,10413
google,2840,en,19,19,purplesec.us,organic,2024,5,47323.17936202511,10447
google,2840,en,19,19,purplesec.us,organic,2024,4,45063.685446878895,10378
google,2840,en,19,19,purplesec.us,organic,2024,3,45779.96879726648,10560
google,2840,en,19,19,purplesec.us,organic,2024,2,43979.24700500257,10700
google,2840,en,19,19,purplesec.us,organic,2024,1,52255.32444359176,10938
google,2840,en,19,19,purplesec.us,organic,2023,12,54810.84385232255,11507
google,2840,en,19,19,purplesec.us,organic,2023,11,56221.31095320918,12036
google,2840,en,19,19,purplesec.us,organic,2023,10,52665.136415092275,12416
google,2840,en,19,19,purplesec.us,organic,2023,9,54951.624175373465,13160
google,2840,en,19,19,purplesec.us,organic,2023,8,42992.84426143393,11117
google,2840,en,19,19,purplesec.us,organic,2023,7,56102.32597267069,10635
google,2840,en,19,19,purplesec.us,organic,2023,6,35791.73260405101,10032
google,2840,en,19,19,purplesec.us,organic,2023,5,31678.2393361032,9196
google,2840,en,19,19,purplesec.us,organic,2023,4,34897.642526583746,8920
google,2840,en,19,19,purplesec.us,organic,2023,3,33144.94566624053,9466
google,2840,en,19,19,purplesec.us,organic,2023,2,38109.57124491967,10011
google,2840,en,19,19,purplesec.us,organic,2023,1,33262.3906843774,9455
google,2840,en,19,19,purplesec.us,organic,2022,12,31704.294107129797,10232
google,2840,en,19,19,purplesec.us,paid,2024,12,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,11,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,10,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,9,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,8,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,7,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,6,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,5,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,4,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,3,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,2,0.0,0
google,2840,en,19,19,purplesec.us,paid,2024,1,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,12,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,11,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,10,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,9,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,8,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,7,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,6,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,5,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,4,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,3,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,2,0.0,0
google,2840,en,19,19,purplesec.us,paid,2023,1,0.0,0
google,2840,en,19,19,purplesec.us,paid,2022,12,0.0,0
google,2840,en,19,19,zelvin.com,organic,2024,12,10.508999967947602,28
google,2840,en,19,19,zelvin.com,organic,2024,11,11.501000184565783,26
google,2840,en,19,19,zelvin.com,organic,2024,10,11.196999978274107,28
google,2840,en,19,19,zelvin.com,organic,2024,9,9.9930000603199,28
google,2840,en,19,19,zelvin.com,organic,2024,8,12.035499954596162,29
google,2840,en,19,19,zelvin.com,organic,2024,7,12.604500019922853,27
google,2840,en,19,19,zelvin.com,organic,2024,6,19.86067987419665,33
google,2840,en,19,19,zelvin.com,organic,2024,5,17.491999939084053,32
google,2840,en,19,19,zelvin.com,organic,2024,4,14.977999925613403,29
google,2840,en,19,19,zelvin.com,organic,2024,3,12.003999836742878,27
google,2840,en,19,19,zelvin.com,organic,2024,2,11.720999844372272,28
google,2840,en,19,19,zelvin.com,organic,2024,1,12.707999780774117,27
google,2840,en,19,19,zelvin.com,organic,2023,12,13.967999696731567,28
google,2840,en,19,19,zelvin.com,organic,2023,11,16.80373982526362,28
google,2840,en,19,19,zelvin.com,organic,2023,10,21.276439832523465,29
google,2840,en,19,19,zelvin.com,organic,2023,9,23.24544016085565,31
